name,group,calorie,carbohydrate,protein,lipid,salt
だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　,4,414,30.8,33.9,18.1,0
だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　,4,176,8.4,14.8,9.8,0
だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　,4,433,28.8,33,21.7,0
だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　,4,422,30.8,32.8,19.5,0
だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　,4,451,30.7,33.6,22.6,0
だいず　［全粒・全粒製品］　いり大豆　黄大豆　,4,439,33.3,37.5,21.6,0
だいず　［全粒・全粒製品］　いり大豆　黒大豆　,4,442,34.3,36.4,22,0
だいず　［全粒・全粒製品］　いり大豆　青大豆　,4,435,33.9,37.7,20.7,0
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　,4,140,7.7,12.9,6.7,0.5
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　,4,205,13.8,16.6,9.8,0.6
だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　,4,450,28.5,36.7,25.7,0
だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　,4,431,29.3,37,22.8,0
だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　,4,451,29.5,37.5,25.1,0
だいず　［全粒・全粒製品］　大豆はいが　　,4,442,39.5,37.8,14.7,0
だいず　［全粒・全粒製品］　ぶどう豆　,4,289,37,14.1,9.4,1.6
だいず　［豆腐・油揚げ類］　木綿豆腐　,4,72,1.6,6.6,4.2,0.1
だいず　［豆腐・油揚げ類］　絹ごし豆腐　　,4,56,2,4.9,3,0
だいず　［豆腐・油揚げ類］　ソフト豆腐　　,4,59,2,5.1,3.3,0
だいず　［豆腐・油揚げ類］　充てん豆腐　　,4,59,2.5,5,3.1,0
だいず　［豆腐・油揚げ類］　沖縄豆腐　　,4,106,0.7,9.1,7.2,0.4
だいず　［豆腐・油揚げ類］　ゆし豆腐　　,4,50,1.7,4.3,2.8,0.6
だいず　［豆腐・油揚げ類］　焼き豆腐　　,4,88,1,7.8,5.7,0
だいず　［豆腐・油揚げ類］　生揚げ　　,4,150,0.9,10.7,11.3,0
だいず　［豆腐・油揚げ類］　油揚げ　生　,4,410,0.4,23.4,34.4,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生　,4,288,0,18.2,23.4,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き　,4,398,0.7,24.9,32.2,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで　,4,177,0.3,12.4,13.8,0
だいず　［豆腐・油揚げ類］　がんもどき　　,4,228,1.6,15.3,17.8,0.5
だいず　［豆腐・油揚げ類］　凍り豆腐　乾　,4,536,4.2,50.5,34.1,1.1
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮　,4,115,1.1,10.7,7.3,0.7
だいず　［豆腐・油揚げ類］　豆腐よう　　,4,189,19.1,9.5,8.3,1.9
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し　,4,126,6.7,14.9,4.4,1.9
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き　,4,139,7.5,16.1,4.9,2.3
だいず　［豆腐・油揚げ類］　ろくじょう豆腐　　,4,347,3.8,34.7,21.5,11
だいず　［納豆類］　糸引き納豆　　,4,200,12.1,16.5,10,0
だいず　［納豆類］　挽きわり納豆　　,4,194,10.5,16.6,10,0
だいず　［納豆類］　五斗納豆　　,4,227,24,15.3,8.1,5.8
だいず　［納豆類］　寺納豆　　,4,271,31.5,18.6,8.1,14.2
だいず　［その他］　おから　生　,4,111,13.8,6.1,3.6,0
だいず　［その他］　おから　乾燥　,4,421,52.3,23.1,13.6,0
だいず　［その他］　豆乳　豆乳　,4,46,3.1,3.6,2,0
だいず　［その他］　豆乳　調製豆乳　,4,64,4.8,3.2,3.6,0.1
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー　,4,60,7.8,2.2,2.2,0.1
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく　　,4,360,36.7,46.3,3,0
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく　　,4,361,27.9,58.2,1.7,1.4
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ　,4,388,7.5,79.1,3,3.3
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ　,4,388,7.5,79.1,3,1.6
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく　　,4,383,25.2,59.3,5,3.6
だいず　［その他］　湯葉　生　　,4,231,4.1,21.8,13.7,0
だいず　［その他］　湯葉　干し　乾　,4,530,7.2,50.4,32.1,0
だいず　［その他］　湯葉　干し　湯戻し　,4,161,0.1,15.7,10.6,0
だいず　［その他］　金山寺みそ　　　,4,256,50,6.9,3.2,5.1
だいず　［その他］　ひしおみそ　　　,4,206,38.8,6.5,2.7,4.8
だいず　［その他］　テンペ　　　,4,202,15.4,15.8,9,0
つるあずき　全粒　乾　　　,4,348,61.8,20.8,1.6,0
つるあずき　全粒　ゆで　　　,4,159,27.5,9.7,1,0
